Date,BA,BTC=USD,DJI,EURUSD=X,GC=F,MSFT
2015-06-18 00:00:00+00:00,145.3800048828125,,18115.80078125,1.1369967460632324,1201.5,46.720001220703125
2015-06-19 00:00:00+00:00,145.1300048828125,,18015.900390625,1.1370742321014404,1201.5,46.09999847412109
2015-06-22 00:00:00+00:00,145.6999969482422,,18119.80078125,1.1372941732406616,1183.699951171875,46.22999954223633
2015-06-23 00:00:00+00:00,144.42999267578125,,18144.099609375,1.13490629196167,1176.199951171875,45.90999984741211
2015-06-24 00:00:00+00:00,143.0,,17966.099609375,1.1172186136245728,1172.5999755859375,45.63999938964844
2015-06-25 00:00:00+00:00,142.4499969482422,,17890.400390625,1.1206992864608765,1171.5,45.650001525878906
2015-06-26 00:00:00+00:00,142.47999572753906,,17946.69921875,1.1202975511550903,1172.9000244140625,45.2599983215332
2015-06-29 00:00:00+00:00,138.72999572753906,,17596.30078125,1.0975021123886108,1178.5,44.369998931884766
2015-06-30 00:00:00+00:00,138.72000122070312,,17619.5,1.122296690940857,1171.5,44.150001525878906
2015-07-01 00:00:00+00:00,140.72999572753906,,17757.900390625,1.1134989261627195,1169.0,44.45000076293945
2015-07-02 00:00:00+00:00,140.2100067138672,,17730.099609375,1.103363037109375,1163.0,44.400001525878906
2015-07-03 00:00:00+00:00,,,,1.1086965799331665,,
2015-07-06 00:00:00+00:00,140.52000427246094,,17683.599609375,1.0995051860809326,1172.9000244140625,44.38999938964844
2015-07-07 00:00:00+00:00,143.14999389648438,,17776.900390625,1.1048991680145264,1152.4000244140625,44.29999923706055
2015-07-08 00:00:00+00:00,141.9199981689453,,17515.400390625,1.1009942293167114,1163.300048828125,44.2400016784668
2015-07-09 00:00:00+00:00,142.8000030517578,,17548.599609375,1.1071009635925293,1159.0,44.52000045776367
2015-07-10 00:00:00+00:00,144.47999572753906,,17760.400390625,1.1063048839569092,1157.699951171875,44.61000061035156
2015-07-13 00:00:00+00:00,146.6199951171875,,17977.69921875,1.1129041910171509,1155.199951171875,45.540000915527344
2015-07-14 00:00:00+00:00,147.75,,18053.599609375,1.099045991897583,1153.300048828125,45.619998931884766
2015-07-15 00:00:00+00:00,146.88999938964844,,18050.19921875,1.1008002758026123,1147.199951171875,45.7599983215332
2015-07-16 00:00:00+00:00,148.49000549316406,,18120.19921875,1.0943553447723389,1143.800048828125,46.65999984741211
2015-07-17 00:00:00+00:00,146.83999633789062,,18086.400390625,1.0886012315750122,1131.800048828125,46.619998931884766
2015-07-20 00:00:00+00:00,146.72000122070312,,18100.400390625,1.0830246210098269,1106.699951171875,46.91999816894531
2015-07-21 00:00:00+00:00,145.0,,17919.30078125,1.0835410356521606,1103.4000244140625,47.27999877929688
2015-07-22 00:00:00+00:00,146.47000122070312,,17851.0,1.0939961671829224,1091.4000244140625,45.540000915527344
2015-07-23 00:00:00+00:00,146.11000061035156,,17731.900390625,1.0927051305770874,1094.0,46.11000061035156
2015-07-24 00:00:00+00:00,144.05999755859375,,17568.5,1.0989010334014893,1085.5999755859375,45.93999862670898
2015-07-27 00:00:00+00:00,141.02999877929688,,17440.599609375,1.0972371101379397,1096.5,45.34999847412109
2015-07-28 00:00:00+00:00,141.80999755859375,,17630.30078125,1.109004020690918,1096.300048828125,45.34000015258789
2015-07-29 00:00:00+00:00,144.13999938964844,,17751.400390625,1.1065986156463623,1092.699951171875,46.290000915527344
2015-07-30 00:00:00+00:00,143.00999450683594,,17746.0,1.098406195640564,1088.4000244140625,46.880001068115234
2015-07-31 00:00:00+00:00,144.1699981689453,,17689.900390625,1.0939244031906128,1094.9000244140625,46.70000076293945
2015-08-03 00:00:00+00:00,143.69000244140625,,17598.19921875,1.0969001054763794,1089.4000244140625,46.810001373291016
